2017-10-30 17:02:25.071190: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-10-30 17:02:25.071306: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
Current Best Correlation : 0.955154823486839
(300,)
(300,)
#2 Sample
Pos : 0.00 0.00           | Predict  : 331.70806884765625  |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 328.7003173828125   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 333.6599426269531   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 324.3591613769531   |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 327.79461669921875  |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 333.1550598144531   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 323.82147216796875  |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 326.56634521484375  |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 323.93804931640625  |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 316.7098083496094   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 322.2095947265625   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 320.9967041015625   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.18756103515625  |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 321.7334899902344   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 322.493896484375    |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 316.3427734375      |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 314.8171691894531   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 316.2314453125      |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 314.7239685058594   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.3684997558594   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 319.8046569824219   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 312.5481872558594   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 316.00958251953125  |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 317.11492919921875  |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 317.3638916015625   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 330.2239685058594   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 323.9648132324219   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 329.68231201171875  |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 334.63970947265625  |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 329.888427734375    |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 333.4002380371094   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 333.4096374511719   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 320.15936279296875  |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 329.49774169921875  |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 324.54827880859375  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 321.442626953125    |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.758056640625    |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 326.7068176269531   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 320.6966857910156   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 325.63970947265625  |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 325.8761291503906   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 314.3177490234375   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 320.484375          |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 317.0561218261719   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.9580993652344   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 313.4991760253906   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 318.42431640625     |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 311.5641174316406   |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 325.0617370605469   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 318.4918212890625   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 328.7991027832031   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 324.68255615234375  |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.918212890625    |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 334.4328308105469   |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 327.3515319824219   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 332.69622802734375  |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 329.15643310546875  |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 328.601806640625    |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 321.9404296875      |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 319.86175537109375  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 314.798583984375    |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 324.3541259765625   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 320.20452880859375  |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 322.0872497558594   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 316.56640625        |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 316.9010925292969   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 323.97454833984375  |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 319.489990234375    |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 313.8588562011719   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.9196472167969   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.3870544433594   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 313.72271728515625  |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 317.6082458496094   |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 316.6081848144531   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 312.9223327636719   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 326.6673583984375   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 328.4261779785156   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 326.228515625       |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 335.2261962890625   |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 332.56103515625     |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 324.04498291015625  |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 327.4784240722656   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 326.4791259765625   |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 321.3930358886719   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 319.6678466796875   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 319.82427978515625  |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 322.4355773925781   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 328.5457763671875   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 316.2541198730469   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 325.8853759765625   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 320.75897216796875  |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 321.0218505859375   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 318.2548828125      |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 316.4618225097656   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.92449951171875  |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 311.7947692871094   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 312.42181396484375  |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 311.72265625        |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 323.076416015625    |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.0105895996094   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 332.2663879394531   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 328.5980224609375   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 333.0755920410156   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 325.17645263671875  |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 330.1662292480469   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 326.00848388671875  |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 326.5711669921875   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 323.4945373535156   |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 323.5945129394531   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 316.64593505859375  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 314.60595703125     |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 317.9969177246094   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 317.2357482910156   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.5639343261719   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.92010498046875  |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 315.8039245605469   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 316.5935974121094   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 317.234619140625    |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 320.21783447265625  |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 311.3703918457031   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 317.2626953125      |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 313.05535888671875  |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 313.57452392578125  |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 311.5605773925781   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.5858459472656   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 330.6350402832031   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 325.88677978515625  |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 334.9676208496094   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 332.5400390625      |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 332.4151916503906   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 328.5195007324219   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 326.2610168457031   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 327.67803955078125  |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 328.3561096191406   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 316.1803894042969   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 323.1673583984375   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 326.4400634765625   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 325.5967712402344   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 322.427490234375    |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 323.2611083984375   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 319.2320556640625   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 327.1368713378906   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 323.8135070800781   |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 322.48968505859375  |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 320.7077331542969   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 317.1598815917969   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 319.2100830078125   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 323.39129638671875  |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.83709716796875  |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 321.6192626953125   |  Target 317.2383728027344

#3 Sample
Pos : 0.00 0.00           | Predict  : 311.4245300292969   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 312.61083984375     |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 312.31787109375     |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 308.90045166015625  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 304.9267883300781   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 310.32281494140625  |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 310.845703125       |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 303.8429260253906   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 305.2693176269531   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 297.7023620605469   |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 303.487548828125    |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 292.19598388671875  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 300.0144958496094   |  Target 299.77923583984375
