20171026

#2 Sample
Pos : 0.00 0.00           | Predict  : 328.2413330078125   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 326.7817077636719   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.4841613769531   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.273193359375    |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 328.2699279785156   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 327.1625671386719   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 325.5314636230469   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 325.1022033691406   |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.6324462890625   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.41693115234375  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.8775634765625   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.43353271484375  |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.43218994140625  |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.2378234863281   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.2114562988281   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.2414855957031   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 317.7528991699219   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 317.1302185058594   |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 316.09130859375     |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.66278076171875  |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 316.00762939453125  |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.9346923828125   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.84521484375     |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.77508544921875  |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.6236267089844   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 327.9277648925781   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 326.6693420410156   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.2397766113281   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.4635925292969   |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 328.3238525390625   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 327.1620178222656   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 325.60498046875     |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 324.5439758300781   |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.6014709472656   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.81341552734375  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.474853515625    |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.0823974609375   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.179931640625    |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.2164306640625   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.0127868652344   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.79046630859375  |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 317.689208984375    |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 316.89288330078125  |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 315.5491027832031   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.220458984375    |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.3811950683594   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.5997619628906   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.614501953125    |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.9026794433594   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.1961975097656   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 327.8770446777344   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 326.45709228515625  |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.1688232421875   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.2762756347656   |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 327.8913879394531   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 327.2622985839844   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 325.7842102050781   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 325.10821533203125  |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.32684326171875  |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.5231018066406   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.7492980957031   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.55450439453125  |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.0376892089844   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.4139709472656   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.00152587890625  |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.5889587402344   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 317.9517822265625   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 316.794189453125    |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 315.51605224609375  |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.6976013183594   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.7674560546875   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.6583251953125   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.95465087890625  |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.63641357421875  |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.1962890625      |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 327.7859191894531   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 327.18780517578125  |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.43707275390625  |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.87109375        |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 328.5492248535156   |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 326.81829833984375  |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 326.0634460449219   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 325.23699951171875  |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.3466491699219   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.3222961425781   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.9064636230469   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.358154296875    |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.3835144042969   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.0899353027344   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.2589111328125   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.52191162109375  |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 318.0052490234375   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 317.0542297363281   |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 316.0550842285156   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 316.07403564453125  |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.7275695800781   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.8304748535156   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.8346862792969   |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 316.12432861328125  |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.4063720703125   |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 327.6645812988281   |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 326.5281677246094   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.2250061035156   |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.1025390625      |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 328.24591064453125  |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 326.95220947265625  |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 325.4119873046875   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 324.8380432128906   |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.55926513671875  |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.4090576171875   |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.7536926269531   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.2677917480469   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.3688659667969   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.64208984375     |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.0198059082031   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.7272033691406   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 317.7763366699219   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 316.44110107421875  |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 315.9258117675781   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.6739807128906   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.9964294433594   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.5667419433594   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.96966552734375  |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.7696228027344   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 315.83392333984375  |  Target 317.2383728027344
Pos : 0.00 0.00           | Predict  : 327.67010498046875  |  Target 329.5776672363281
Pos : 0.00 49.40          | Predict  : 326.6361083984375   |  Target 327.69970703125
Pos : -34.93 34.93        | Predict  : 328.06707763671875  |  Target 329.4841613769531
Pos : -49.40 0.00         | Predict  : 328.53900146484375  |  Target 329.8428039550781
Pos : -34.93 -34.93       | Predict  : 328.44140625        |  Target 330.13592529296875
Pos : 0.00 -49.40         | Predict  : 326.5937194824219   |  Target 328.6207275390625
Pos : 34.93 -34.93        | Predict  : 325.0351867675781   |  Target 326.7083740234375
Pos : 49.40 0.00          | Predict  : 324.54443359375     |  Target 326.14703369140625
Pos : 34.93 34.93         | Predict  : 325.5857849121094   |  Target 326.447021484375
Pos : 0.00 98.80          | Predict  : 317.19537353515625  |  Target 317.9645080566406
Pos : -37.81 91.28        | Predict  : 318.6377868652344   |  Target 318.8328552246094
Pos : -69.86 69.86        | Predict  : 319.1587219238281   |  Target 319.7321472167969
Pos : -91.28 37.81        | Predict  : 319.3006896972656   |  Target 320.2249755859375
Pos : -98.80 0.00         | Predict  : 319.3888854980469   |  Target 320.74261474609375
Pos : -91.28 -37.81       | Predict  : 319.2218017578125   |  Target 320.8946838378906
Pos : -69.86 -69.86       | Predict  : 318.3133239746094   |  Target 320.7244567871094
Pos : -37.81 -91.28       | Predict  : 318.1121520996094   |  Target 320.3100891113281
Pos : 0.00 -98.80         | Predict  : 317.0591125488281   |  Target 318.73089599609375
Pos : 37.81 -91.28        | Predict  : 315.8942565917969   |  Target 317.6855163574219
Pos : 69.86 -69.86        | Predict  : 315.4193115234375   |  Target 317.0175476074219
Pos : 91.28 -37.81        | Predict  : 315.6798095703125   |  Target 316.89739990234375
Pos : 98.80 0.00          | Predict  : 315.4971008300781   |  Target 316.7902526855469
Pos : 91.28 37.81         | Predict  : 315.6065979003906   |  Target 317.2120361328125
Pos : 69.86 69.86         | Predict  : 315.1169128417969   |  Target 316.93328857421875
Pos : 37.81 91.28         | Predict  : 316.1021423339844   |  Target 317.2383728027344

#3 Sample
Pos : 0.00 0.00           | Predict  : 296.0811462402344   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 295.0198974609375   |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.7700500488281   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.60040283203125  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 294.2309265136719   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 293.18621826171875  |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 292.28521728515625  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.7886962890625   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.958984375       |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.51568603515625  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.91571044921875  |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 282.9289855957031   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.32965087890625  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 283.1863098144531   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 282.1300048828125   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 280.828369140625    |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 280.01007080078125  |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.9736328125      |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 278.3041687011719   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 278.15966796875     |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 278.5386657714844   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 278.43438720703125  |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.3189392089844   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.9761657714844   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.4883728027344   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 296.02227783203125  |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.343994140625    |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.9180908203125   |  Target 308.1975402832031
