Sample2
Pos,Thickness,Target Thickness
0.00 0.00,329.649785981,329.578
0.00 49.40,329.09744237,327.7
-34.93 34.93,329.588608891,329.484
-49.40 0.00,329.691491388,329.843
-34.93 -34.93,329.691491388,330.136
0.00 -49.40,328.623399415,328.621
34.93 -34.93,328.068996127,326.708
49.40 0.00,326.718040451,326.147
34.93 34.93,328.111049895,326.447
0.00 98.80,319.238824873,317.965
-37.81 91.28,318.428824895,318.833
-69.86 69.86,320.207874976,319.732
-91.28 37.81,320.520008415,320.225
-98.80 0.00,320.483778315,320.743
-91.28 -37.81,320.362612115,320.895
-69.86 -69.86,320.560245743,320.724
-37.81 -91.28,319.543587191,320.31
0.00 -98.80,318.856287727,318.731
37.81 -91.28,317.993047998,317.686
69.86 -69.86,317.009292014,317.018
91.28 -37.81,317.021755451,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.075626724,317.212
69.86 69.86,317.058102225,316.933
37.81 91.28,317.864231325,317.238
0.00 0.00,329.362417076,329.578
0.00 49.40,328.102567534,327.7
-34.93 34.93,329.32257244,329.484
-49.40 0.00,329.081492728,329.843
-34.93 -34.93,329.635057589,330.136
0.00 -49.40,327.601952216,328.621
34.93 -34.93,327.374078052,326.708
49.40 0.00,326.394258396,326.147
34.93 34.93,326.737415539,326.447
0.00 98.80,318.320766505,317.965
-37.81 91.28,318.691621386,318.833
-69.86 69.86,319.991622122,319.732
-91.28 37.81,320.478655053,320.225
-98.80 0.00,320.560245743,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.560245743,320.724
-37.81 -91.28,319.818366396,320.31
0.00 -98.80,318.078854177,318.731
37.81 -91.28,317.900654627,317.686
69.86 -69.86,317.064488368,317.018
91.28 -37.81,317.021755451,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.021755451,317.212
69.86 69.86,317.064488368,316.933
37.81 91.28,317.357068338,317.238
0.00 0.00,329.649785981,329.578
0.00 49.40,328.697333327,327.7
-34.93 34.93,329.691491388,329.484
-49.40 0.00,329.460082951,329.843
-34.93 -34.93,329.471629902,330.136
0.00 -49.40,327.735362466,328.621
34.93 -34.93,327.322931003,326.708
49.40 0.00,326.50137175,326.147
34.93 34.93,327.017625434,326.447
0.00 98.80,318.273679021,317.965
-37.81 91.28,319.851767732,318.833
-69.86 69.86,319.945870027,319.732
-91.28 37.81,320.520008415,320.225
-98.80 0.00,320.583783171,320.743
-91.28 -37.81,320.516060139,320.895
-69.86 -69.86,320.646187023,320.724
-37.81 -91.28,318.963040077,320.31
0.00 -98.80,318.381269703,318.731
37.81 -91.28,317.56205008,317.686
69.86 -69.86,317.052024931,317.018
91.28 -37.81,317.009292014,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.064488368,317.212
69.86 69.86,317.009292014,316.933
37.81 91.28,317.139691649,317.238
0.00 0.00,328.33033814,329.578
0.00 49.40,328.062408154,327.7
-34.93 34.93,329.695596801,329.484
-49.40 0.00,329.695596801,329.843
-34.93 -34.93,329.160085579,330.136
0.00 -49.40,328.138120395,328.621
34.93 -34.93,327.221051371,326.708
49.40 0.00,325.673408855,326.147
34.93 34.93,326.78154214,326.447
0.00 98.80,318.679606648,317.965
-37.81 91.28,319.022111737,318.833
-69.86 69.86,319.809478816,319.732
-91.28 37.81,320.412660838,320.225
-98.80 0.00,320.19775752,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.632580549,320.724
-37.81 -91.28,319.206122301,320.31
0.00 -98.80,318.804670367,318.731
37.81 -91.28,317.451195689,317.686
69.86 -69.86,317.027225279,317.018
91.28 -37.81,317.194513619,316.897
98.80 0.00,317.027225279,316.79
91.28 37.81,317.027225279,317.212
69.86 69.86,317.027225279,316.933
37.81 91.28,317.296317095,317.238
0.00 0.00,329.644109922,329.578
0.00 49.40,328.973232494,327.7
-34.93 34.93,329.546903484,329.484
-49.40 0.00,329.634419711,329.843
-34.93 -34.93,329.648198873,330.136
0.00 -49.40,328.353007225,328.621
34.93 -34.93,327.209126193,326.708
49.40 0.00,326.829626808,326.147
34.93 34.93,326.573121114,326.447
0.00 98.80,318.317999225,317.965
-37.81 91.28,319.152883594,318.833
-69.86 69.86,319.851767732,319.732
-91.28 37.81,320.302560651,320.225
-98.80 0.00,320.646187023,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.646187023,320.724
-37.81 -91.28,319.852292532,320.31
0.00 -98.80,318.66825573,318.731
37.81 -91.28,317.687285319,317.686
69.86 -69.86,317.021755451,317.018
91.28 -37.81,317.009292014,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.009292014,317.212
69.86 69.86,317.009292014,316.933
37.81 91.28,317.296322686,317.238
0.00 0.00,329.269051319,329.578
0.00 49.40,327.330972052,327.7
-34.93 34.93,329.464466765,329.484
-49.40 0.00,329.746966935,329.843
-34.93 -34.93,329.221503612,330.136
0.00 -49.40,327.550168996,328.621
34.93 -34.93,326.793060485,326.708
49.40 0.00,326.394258396,326.147
34.93 34.93,326.48506631,326.447
0.00 98.80,318.357135318,317.965
-37.81 91.28,318.42035818,318.833
-69.86 69.86,319.463714986,319.732
-91.28 37.81,320.583783171,320.225
-98.80 0.00,319.949988606,320.743
-91.28 -37.81,320.414238697,320.895
-69.86 -69.86,320.495706343,320.724
-37.81 -91.28,318.841625115,320.31
0.00 -98.80,318.283689577,318.731
37.81 -91.28,317.318211831,317.686
69.86 -69.86,317.009292014,317.018
91.28 -37.81,317.009292014,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.027225279,317.212
69.86 69.86,317.009292014,316.933
37.81 91.28,317.163198737,317.238
0.00 0.00,329.649785981,329.578
0.00 49.40,328.22699047,327.7
-34.93 34.93,329.487869053,329.484
-49.40 0.00,329.691491388,329.843
-34.93 -34.93,329.450499724,330.136
0.00 -49.40,328.596887003,328.621
34.93 -34.93,326.743804647,326.708
49.40 0.00,326.423726486,326.147
34.93 34.93,326.903947977,326.447
0.00 98.80,318.656123786,317.965
-37.81 91.28,318.749241138,318.833
-69.86 69.86,320.288967017,319.732
-91.28 37.81,320.512448019,320.225
-98.80 0.00,320.648456877,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.646187023,320.724
-37.81 -91.28,319.616277718,320.31
0.00 -98.80,319.283232792,318.731
37.81 -91.28,317.82773089,317.686
69.86 -69.86,317.301815707,317.018
91.28 -37.81,317.009292014,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.052024931,317.212
69.86 69.86,317.12046582,316.933
37.81 91.28,317.656211652,317.238
0.00 0.00,329.592693801,329.578
0.00 49.40,327.980638482,327.7
-34.93 34.93,329.737302208,329.484
-49.40 0.00,329.312901165,329.843
-34.93 -34.93,329.309425446,330.136
0.00 -49.40,328.225295263,328.621
34.93 -34.93,327.012173132,326.708
49.40 0.00,325.370014339,326.147
34.93 34.93,326.723129994,326.447
0.00 98.80,318.661912346,317.965
-37.81 91.28,318.715376256,318.833
-69.86 69.86,320.264953073,319.732
-91.28 37.81,319.933880604,320.225
-98.80 0.00,320.57846399,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.414238697,320.724
-37.81 -91.28,320.278167981,320.31
0.00 -98.80,318.510391797,318.731
37.81 -91.28,317.977782094,317.686
69.86 -69.86,317.064488368,317.018
91.28 -37.81,317.052024931,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.009292014,317.212
69.86 69.86,317.009292014,316.933
37.81 91.28,317.347607661,317.238
0.00 0.00,329.081492728,329.578
0.00 49.40,328.45793922,327.7
-34.93 34.93,329.341353896,329.484
-49.40 0.00,329.505893771,329.843
-34.93 -34.93,329.505893771,330.136
0.00 -49.40,328.207381386,328.621
34.93 -34.93,327.139377938,326.708
49.40 0.00,326.514097778,326.147
34.93 34.93,328.087747545,326.447
0.00 98.80,318.682805385,317.965
-37.81 91.28,319.030073034,318.833
-69.86 69.86,319.851767732,319.732
-91.28 37.81,320.502947757,320.225
-98.80 0.00,320.253258984,320.743
-91.28 -37.81,320.222302144,320.895
-69.86 -69.86,320.451905106,320.724
-37.81 -91.28,319.670506733,320.31
