Sample2
Pos,Thickness,Target Thickness
0.00 0.00,329.587220778,329.578
0.00 49.40,329.034370041,327.7
-34.93 34.93,329.525345275,329.484
-49.40 0.00,329.480906278,329.843
-34.93 -34.93,329.536381118,330.136
0.00 -49.40,329.17567046,328.621
34.93 -34.93,327.331552397,326.708
49.40 0.00,326.437835131,326.147
34.93 34.93,327.959613739,326.447
0.00 98.80,319.820594446,317.965
-37.81 91.28,319.565840504,318.833
-69.86 69.86,320.150641735,319.732
-91.28 37.81,320.691024343,320.225
-98.80 0.00,320.598241494,320.743
-91.28 -37.81,320.477271991,320.895
-69.86 -69.86,320.477271991,320.724
-37.81 -91.28,319.677467986,320.31
0.00 -98.80,318.805054297,318.731
37.81 -91.28,318.074271079,317.686
69.86 -69.86,317.00955178,317.018
91.28 -37.81,316.9906207,316.897
98.80 0.00,316.972778891,316.79
91.28 37.81,317.03422437,317.212
69.86 69.86,317.089772796,316.933
37.81 91.28,317.681630767,317.238
0.00 0.00,329.580125394,329.578
0.00 49.40,328.494547298,327.7
-34.93 34.93,329.577435368,329.484
-49.40 0.00,329.468732772,329.843
-34.93 -34.93,329.573420823,330.136
0.00 -49.40,327.009786271,328.621
34.93 -34.93,327.193920291,326.708
49.40 0.00,326.402609301,326.147
34.93 34.93,327.074158244,326.447
0.00 98.80,318.780546197,317.965
-37.81 91.28,319.143591875,318.833
-69.86 69.86,320.080842091,319.732
-91.28 37.81,320.691024343,320.225
-98.80 0.00,320.303630043,320.743
-91.28 -37.81,320.543509769,320.895
-69.86 -69.86,320.543509769,320.724
-37.81 -91.28,320.271299388,320.31
0.00 -98.80,318.193429227,318.731
37.81 -91.28,317.824189142,317.686
69.86 -69.86,317.130601393,317.018
91.28 -37.81,316.972778891,316.897
98.80 0.00,316.972778891,316.79
91.28 37.81,316.972778891,317.212
69.86 69.86,317.130601393,316.933
37.81 91.28,317.584515789,317.238
0.00 0.00,329.524787123,329.578
0.00 49.40,328.258541339,327.7
-34.93 34.93,329.571788144,329.484
-49.40 0.00,329.546040909,329.843
-34.93 -34.93,329.634817726,330.136
0.00 -49.40,327.697409178,328.621
34.93 -34.93,327.404371698,326.708
49.40 0.00,326.729344128,326.147
34.93 34.93,326.437835131,326.447
0.00 98.80,318.500062546,317.965
-37.81 91.28,320.080842091,318.833
-69.86 69.86,320.097541615,319.732
-91.28 37.81,320.097541615,320.225
-98.80 0.00,320.344619844,320.743
-91.28 -37.81,320.303630043,320.895
-69.86 -69.86,320.477271991,320.724
-37.81 -91.28,319.816510099,320.31
0.00 -98.80,318.500681577,318.731
37.81 -91.28,317.588392967,317.686
69.86 -69.86,316.972778891,317.018
91.28 -37.81,316.9906207,316.897
98.80 0.00,316.972778891,316.79
91.28 37.81,316.996740255,317.212
69.86 69.86,316.9906207,316.933
37.81 91.28,317.351823466,317.238
0.00 0.00,329.090489599,329.578
0.00 49.40,328.215218946,327.7
-34.93 34.93,329.69725138,329.484
-49.40 0.00,329.426350515,329.843
-34.93 -34.93,329.027257612,330.136
0.00 -49.40,328.12598877,328.621
34.93 -34.93,327.685130331,326.708
49.40 0.00,326.402609301,326.147
34.93 34.93,326.402609301,326.447
0.00 98.80,318.356424242,317.965
-37.81 91.28,318.626738174,318.833
-69.86 69.86,320.02512471,319.732
-91.28 37.81,320.52844185,320.225
-98.80 0.00,319.896648238,320.743
-91.28 -37.81,320.612782357,320.895
-69.86 -69.86,320.048084963,320.724
-37.81 -91.28,319.326076127,320.31
0.00 -98.80,319.204009173,318.731
37.81 -91.28,317.709227842,317.686
69.86 -69.86,317.19018584,317.018
91.28 -37.81,317.019680317,316.897
