"Pos : 0.00 0.00           | Predict  : 326.5333251953125   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 335.84716796875     |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 328.3283386230469   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 335.36370849609375  |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 332.79022216796875  |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 326.04461669921875  |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 322.21966552734375  |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 315.1506042480469   |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 330.2283020019531   |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 322.1458740234375   |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 321.1995849609375   |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 314.51092529296875  |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 323.9945983886719   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 313.3625183105469   |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 322.17767333984375  |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 320.6213073730469   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 318.6519775390625   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 321.78851318359375  |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 316.01348876953125  |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 316.8634338378906   |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 315.1231384277344   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 316.5467834472656   |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 315.42010498046875  |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 313.6166687011719   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 321.71221923828125  |  Target 317.2383728027344 "
